,SPY US Equity,IWM US Equity,QQQ US Equity,VGK US Equity,EWJ US Equity,EEM US Equity,EFA US Equity,ACWX US Equity,IYR US Equity,GSG US Equity,GLD US Equity,SHY US Equity,IEF US Equity,TLT US Equity,LQD US Equity,HYG US Equity,AGG US Equity
2014-03-31,187.01,116.34,87.67,58.95,45.32,41.01,67.2,46.57,67.67,32.97,123.61,84.45,101.73,109.1,116.94,94.39,107.91
2014-04-30,188.31,111.98,87.39,60.51,44.32,41.33,68.32,47.35,69.72,33.3,124.22,84.52,102.31,111.1,118.15,94.34,108.59
2014-05-30,192.68,112.86,91.31,60.98,46.32,42.55,69.41,48.15,71.67,33.13,120.43,84.65,103.98,114.1,119.59,95.05,109.67
2014-06-30,195.72,118.81,93.91,59.95,48.16,43.23,68.37,48.02,71.79,33.92,128.04,84.56,103.58,113.52,119.26,95.2,109.4
2014-07-31,193.09,111.1899,95.02,57.36,48.0,43.82,66.59,47.28,71.71,32.0,123.39,84.47,103.16,113.98,118.55,92.48,108.93
2014-08-29,200.71,116.56,99.78,57.78,47.2,45.06,66.71,47.78,74.2,31.5,123.86,84.6,104.9,119.05,120.58,94.24,109.98
2014-09-30,197.02,109.35,98.79,55.22,47.08,41.56,64.12,45.48,69.2,29.59,116.21,84.51,103.62,116.27,118.22,91.95,109.11
2014-10-31,201.66,116.56,101.4,54.17,48.24,42.15,63.95,45.38,74.98,27.83,112.66,84.7,105.02,119.25,119.34,92.53,110.08
2014-11-28,207.2,116.69,106.01,55.29,46.48,41.5,63.99,45.34,77.02,25.02,112.11,84.76,106.19,122.49,120.09,91.13,110.61
2014-12-31,205.54,119.62,103.25,52.41,44.96,39.29,60.84,43.02,76.84,21.58,113.58,84.45,105.99,125.92,119.41,89.6,110.12
2015-01-30,199.45,115.7,101.1,52.68,45.96,39.02,61.22,42.87,81.23,19.7,123.45,84.98,110.55,138.28,123.89,90.23,112.38
2015-02-27,210.66,122.58,108.4,55.89,49.4,40.74,65.1,45.25,79.12,20.87,116.16,84.7,107.64,129.53,121.8,91.87,111.2
2015-03-31,206.43,124.37,105.6,54.22,50.12,40.13,64.17,44.7,79.32,19.5,113.66,84.88,108.39,130.69,121.71,90.61,111.43
2015-04-30,208.46,121.18,107.63,56.52,51.44,42.88,66.51,46.84,75.5,21.63,113.47,84.87,107.53,125.95,119.94,90.99,110.86
2015-05-29,211.14,123.89,110.05,56.68,52.2,41.12,66.64,46.31,75.25,21.16,114.1,84.87,106.92,122.71,118.27,90.91,110.17
2015-06-30,205.85,124.86,107.07,53.98,51.24,39.62,63.49,44.18,71.3,21.11,112.37,84.86,105.01,117.46,115.72,88.8,108.78
2015-07-31,210.5,122.96,111.95,55.42,51.72,37.12,64.78,44.08,74.83,18.12,104.93,84.86,106.44,122.53,116.35,87.97,109.5
2015-08-31,197.67,115.2,104.31,51.53,48.48,33.84,59.97,40.8,70.48,18.17,108.82,84.78,106.36,121.42,115.06,86.24,108.92
2015-09-30,191.63,109.2,101.76,49.18,45.72,32.78,57.32,39.05,70.95,17.08,106.86,84.99,107.87,123.54,116.09,83.29,109.58
2015-10-30,207.93,115.34,113.33,52.08,49.28,34.87,61.11,41.61,75.36,17.07,109.3,84.83,107.02,122.78,116.42,85.57,109.45
